som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.038721,51384,response to glucocorticoid stimulus,biological process,31960,response to corticosteroid stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucocorticoid stimulus. Glucocorticoids are hormonal C21 corticosteroids synthesized from cholesterol with the ability to bind with the cortisol receptor and trigger similar effects. Glucocorticoids act primarily on carbohydrate and protein metabolism, and have anti-inflammatory effects. [GOC:ai, PMID:9884123]"
0.039049,19236,response to pheromone,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pheromone stimulus. [GOC:jl]"
0.045546,46888,negative regulation of hormone secretion,biological process,46883,regulation of hormone secretion,48523,negative regulation of cellular process,51048,negative regulation of secretion,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of a hormone from a cell or group of cells. [GOC:ai]"
0.045546,50829,defense response to Gram-negative bacterium,biological process,42742,defense response to bacterium,,,,,,,Reactions triggered in response to the presence of a Gram-negative bacterium that act to protect the cell or organism. [GOC:ai]
0.045546,60218,hemopoietic stem cell differentiation,biological process,48863,stem cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a hemopoietic stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells. [GOC:bf, GOC:dph, PMID:15378083]"
som_mouse_1_2,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00012852,42552,myelination,biological process,8366,axon ensheathment,,,,,,,"The process in which myelin sheaths are formed and maintained around neurons. Oligodendrocytes in the brain and spinal cord and Schwann cells in the peripheral nervous system wrap axons with compact layers of their plasma membrane. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier. [GOC:dgh, GOC:mah]"
0.00079475,22010,central nervous system myelination,biological process,32291,axon ensheathment in central nervous system,42552,myelination,,,,,"The process in which neuronal axons and dendrites become coated with a segmented lipid-rich sheath (myelin) to enable faster and more energetically efficient conduction of electrical impulses. The sheath is formed by the cell membranes of oligodendrocytes in the central nervous system. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.00085462,7158,neuron cell-cell adhesion,biological process,16337,cell-cell adhesion,,,,,,,The attachment of a neuron to another cell via adhesion molecules. [GOC:go_curators]
0.00085462,9247,glycolipid biosynthetic process,biological process,6664,glycolipid metabolic process,46467,membrane lipid biosynthetic process,,,,,"The chemical reactions and pathways resulting in the formation of glycolipid, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide). [CHEBI:33563, GOC:go_curators]"
0.0009855,9636,response to toxin,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxin stimulus. [GOC:lr]"
0.0025143,2175,protein localization to paranode region of axon,biological process,34613,cellular protein localization,,,,,,,"A cellular protein localization process in which a protein is transported to, or maintained at, the paranode region of an axon. [PMID:18803321]"
0.0025143,14065,phosphatidylinositol 3-kinase cascade,biological process,48015,phosphatidylinositol-mediated signaling,,,,,,,"A series of reactions, mediated by the intracellular phosphatidylinositol 3-kinase (PI3K). PI3K cascades lie downstream of many cell surface receptor linked signaling pathways and regulate numerous cellular functions. [GOC:ef, http://www.biocarta.com, Wikipedia:PI3K]"
0.0025143,30913,paranodal junction assembly,biological process,7043,cell-cell junction assembly,10927,cellular component assembly involved in morphogenesis,,,,,"Formation of the junction between an axon and the glial cell that forms the myelin sheath. Paranodal junctions form at each paranode, i.e. at the ends of the unmyelinated nodes of Ranvier. [PMID:14715942]"
0.010468,9611,response to wounding,biological process,6950,response to stress,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism. [GOC:go_curators]"
0.01186,6520,cellular amino acid metabolic process,biological process,19752,carboxylic acid metabolic process,44106,cellular amine metabolic process,44238,primary metabolic process,,,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells. [CHEBI:33709, GOC:curators, ISBN:0198506732]"
0.012441,6633,fatty acid biosynthetic process,biological process,6631,fatty acid metabolic process,8610,lipid biosynthetic process,46394,carboxylic acid biosynthetic process,,,"The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes. [GOC:mah, ISBN:0198506732]"
0.016286,50808,synapse organization,biological process,16043,cellular component organization,,,,,,,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell). [GOC:ai, GOC:pr]"
0.01956,7169,transmembrane receptor protein tyrosine kinase signaling pathway,biological process,7167,enzyme linked receptor protein signaling pathway,,,,,,,"A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:ceb, GOC:signaling]"
0.0213,33198,response to ATP,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ATP (adenosine 5'-triphosphate) stimulus. [GOC:sl]"
0.0213,71300,cellular response to retinoic acid,biological process,32526,response to retinoic acid,71299,cellular response to vitamin A,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus. [GOC:mah]"
0.022338,8610,lipid biosynthetic process,biological process,6629,lipid metabolic process,9058,biosynthetic process,,,,,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. [GOC:go_curators]"
0.026864,7162,negative regulation of cell adhesion,biological process,30155,regulation of cell adhesion,48523,negative regulation of cellular process,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion. [GOC:go_curators]"
0.026864,45109,intermediate filament organization,biological process,45104,intermediate filament cytoskeleton organization,,,,,,,"Control of the spatial distribution of intermediate filaments; includes organizing filaments into meshworks, bundles, or other structures, as by cross-linking. [GOC:ai]"
0.026864,60291,long-term synaptic potentiation,biological process,48167,regulation of synaptic plasticity,50806,positive regulation of synaptic transmission,,,,,"A process that modulates synaptic plasticity such that synapses are changed resulting in the increase in the rate, or frequency of synaptic transmission at the synapse. [GOC:dgh, GOC:dph]"
0.032941,10977,negative regulation of neuron projection development,biological process,10975,regulation of neuron projection development,31345,negative regulation of cell projection organization,,,,,"Any process that decreases the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites). [GOC:dph, GOC:tb]"
0.046501,7528,neuromuscular junction development,biological process,50808,synapse organization,,,,,,,"The process whose specific outcome is the progression of the neuromuscular junction over time, from its formation to the mature structure. [GOC:jid]"
0.047434,7409,axonogenesis,biological process,48812,neuron projection morphogenesis,,,,,,,"Generation of a long process of a neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells. [GOC:jid, ISBN:0198506732]"
som_mouse_1_3,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00010744,21707,cerebellar granule cell differentiation,biological process,21533,cell differentiation in hindbrain,21953,central nervous system neuron differentiation,,,,,"The process in which neuroblasts acquire specialized structural and/or functional features that characterize the mature cerebellar granule cell. Differentiation includes the processes involved in commitment of a neuroblast to a granule cell fate. A granule cell is a glutamatergic interneuron found in the cerebellar cortex. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, PMID:15157725]"
0.00024563,42391,regulation of membrane potential,biological process,6873,cellular ion homeostasis,,,,,,,"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane. [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]"
0.00041455,14824,artery smooth muscle contraction,biological process,14820,tonic smooth muscle contraction,14829,vascular smooth muscle contraction,,,,,"A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. This process occurs in the artery. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. The artery is a vessel carrying blood away from the heart. [GOC:mtg_muscle, MA:0000708, MESH:A07.231.114]"
0.0012815,6820,anion transport,biological process,6811,ion transport,,,,,,,"The directed movement of anions, atoms or small molecules with a net negative charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.0012815,8016,regulation of heart contraction,biological process,44057,regulation of system process,,,,,,,"Any process that modulates the frequency, rate or extent of heart contraction. Heart contraction is the process in which the heart decreases in volume in a characteristic way to propel blood through the body. [GOC:dph, GOC:go_curators, GOC:tb]"
0.0012815,16049,cell growth,biological process,9987,cellular process,40007,growth,,,,,The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present. [GOC:ai]
0.0015038,7204,elevation of cytosolic calcium ion concentration,biological process,51480,cytosolic calcium ion homeostasis,,,,,,,Any process that increases the concentration of calcium ions in the cytosol. [GOC:ai]
0.0018507,7616,long-term memory,biological process,7613,memory,,,,,,,"The memory process that deals with the storage, retrieval and modification of information a long time (typically weeks, months or years) after receiving that information. This type of memory is typically dependent on gene transcription regulated by second messenger activation. [http://hebb.mit.edu/courses/9.03/lecture4.html, ISBN:0582227089]"
0.001929,42445,hormone metabolic process,biological process,8152,metabolic process,10817,regulation of hormone levels,,,,,"The chemical reactions and pathways involving any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone. [CHEBI:24621, GOC:jl]"
0.0022676,6817,phosphate ion transport,biological process,15698,inorganic anion transport,,,,,,,"The directed movement of phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:krc]"
0.0022676,7196,inhibition of adenylate cyclase activity by G-protein coupled glutamate receptor signaling pathway,biological process,7193,inhibition of adenylate cyclase activity by G-protein signaling pathway,7216,G-protein coupled glutamate receptor signaling pathway,,,,,"The series of molecular signals generated as a consequence of a metabotropic glutamate receptor binding to its physiological ligand, followed by inhibition of adenylyl cyclase and a subsequent decrease in the concentration of cyclic AMP. [GOC:dph, GOC:mah, GOC:tb]"
0.0022676,17158,regulation of calcium ion-dependent exocytosis,biological process,17157,regulation of exocytosis,,,,,,,"Any process that modulates the frequency, rate or extent of calcium ion-dependent exocytosis. [GOC:go_curators]"
0.0022676,40011,locomotion,biological process,8150,biological_process,,,,,,,Self-propelled movement of a cell or organism from one location to another. [GOC:dgh]
0.0022676,42428,serotonin metabolic process,biological process,6586,indolalkylamine metabolic process,,,,,,,"The chemical reactions and pathways involving serotonin (5-hydroxytryptamine), a monoamine neurotransmitter occurring in the peripheral and central nervous systems, also having hormonal properties. [GOC:jl, ISBN:0198506732]"
0.0022676,44341,sodium-dependent phosphate transport,biological process,6817,phosphate ion transport,,,,,,,"The directed movement of phosphate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore, by a mechanism dependent upon sodium ions. [GOC:BHF, GOC:jl]"
0.0058496,43434,response to peptide hormone stimulus,biological process,9725,response to hormone stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals. [PMID:11027914, PMID:15134857, Wikipedia:Peptide_hormone]"
0.0065878,7270,neuron-neuron synaptic transmission,biological process,7268,synaptic transmission,,,,,,,"The process of communication from a neuron to another neuron across a synapse. [GOC:add, GOC:jl, MeSH:D009435]"
0.0065878,10613,positive regulation of cardiac muscle hypertrophy,biological process,10611,regulation of cardiac muscle hypertrophy,14742,positive regulation of muscle hypertrophy,,,,,"Any process that increases the rate, frequency or extent of the enlargement or overgrowth of all or part of the heart due to an increase in size (not length) of individual cardiac muscle fibers, without cell division. [GOC:BHF, GOC:dph, GOC:tb]"
0.0065878,33555,multicellular organismal response to stress,biological process,6950,response to stress,32501,multicellular organismal process,,,,,"Any process that results in a change in state or activity of a multicellular organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation). [GOC:mah]"
0.0065878,45792,negative regulation of cell size,biological process,8361,regulation of cell size,,,,,,,Any process that reduces cell size. [GOC:go_curators]
0.0065878,51403,stress-activated MAPK cascade,biological process,165,MAPK cascade,31098,stress-activated protein kinase signaling cascade,,,,,"A series of molecular signals in which a stress-activated MAP kinase cascade relays one or more of the signals; MAP kinase cascades involve at least three protein kinase activities and culminate in the phosphorylation and activation of a MAP kinase. [GOC:ai, PMID:15936270]"
0.0073669,51930,regulation of sensory perception of pain,biological process,51931,regulation of sensory perception,,,,,,,"Any process that modulates the frequency, rate or extent of the sensory perception of pain, the series of events required for an organism to receive a painful stimulus, convert it to a molecular signal, and recognize and characterize the signal. [GOC:ai]"
0.010035,6469,negative regulation of protein kinase activity,biological process,33673,negative regulation of kinase activity,45859,regulation of protein kinase activity,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of protein kinase activity. [GOC:go_curators]"
0.010035,50873,brown fat cell differentiation,biological process,45444,fat cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a brown adipocyte, an animal connective tissue cell involved in adaptive thermogenesis. Brown adipocytes contain multiple small droplets of triglycerides and a high number of mitochondria. [PMID:12588810]"
0.012761,7269,neurotransmitter secretion,biological process,1505,regulation of neurotransmitter levels,6836,neurotransmitter transport,23061,signal release,32940,secretion by cell,"The regulated release of neurotransmitter into the synaptic cleft. A neurotransmitter is any of a group of substances that are released on excitation from the axon terminal of a presynaptic neuron of the central or peripheral nervous system and travel across the synaptic cleft to either excite or inhibit the target cell. Among the many substances that have the properties of a neurotransmitter are acetylcholine, noradrenaline, adrenaline, dopamine, glycine, gamma-aminobutyrate, glutamic acid, substance P, enkephalins, endorphins and serotonin. [CHEBI:25512, GOC:dph]"
0.012761,7342,fusion of sperm to egg plasma membrane,biological process,22412,cellular process involved in reproduction in multicellular organism,45026,plasma membrane fusion,,,,,"The binding and fusion of a sperm, having penetrated the zona pellucida, with the plasma membrane of the oocyte. Binding occurs at the posterior (post-acrosomal) region of the sperm head. [GOC:jl, http://arbl.cvmbs.colostate.edu/hbooks/pathphys/reprod/fert/fert.html]"
0.012761,9651,response to salt stress,biological process,6970,response to osmotic stress,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment. [GOC:jl]"
0.012761,14037,Schwann cell differentiation,biological process,10001,glial cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires the specialized features of a Schwann cell. Schwann cells are found in the peripheral nervous system, where they insulate neurons and axons, and regulate the environment in which neurons function. [GOC:ef]"
0.012761,14050,negative regulation of glutamate secretion,biological process,14048,regulation of glutamate secretion,48523,negative regulation of cellular process,51048,negative regulation of secretion,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the controlled release of glutamate. [GOC:ef]"
0.012761,14061,regulation of norepinephrine secretion,biological process,50433,regulation of catecholamine secretion,,,,,,,"Any process that modulates the frequency, rate or extent of the regulated release of norepinephrine. [GOC:ef]"
0.012761,21702,cerebellar Purkinje cell differentiation,biological process,21533,cell differentiation in hindbrain,21953,central nervous system neuron differentiation,,,,,"The process in which neuroblasts acquire specialized structural and/or functional features that characterize the mature cerebellar Purkinje cell. Differentiation includes the processes involved in commitment of a neuroblast to a Purkinje cell fate. A Purkinje cell is an inhibitory GABAergic neuron found in the cerebellar cortex that projects to the deep cerebellar nuclei and brain stem. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, PMID:15157725]"
0.012761,32308,positive regulation of prostaglandin secretion,biological process,32305,positive regulation of icosanoid secretion,32306,regulation of prostaglandin secretion,,,,,"Any process that activates or increases the frequency, rate or extent of the regulated release of a prostaglandin from a cell or group of cells. [GOC:mah]"
0.012761,48714,positive regulation of oligodendrocyte differentiation,biological process,45687,positive regulation of glial cell differentiation,48713,regulation of oligodendrocyte differentiation,,,,,"Any process that activates or increases the frequency, rate or extent of oligodendrocyte differentiation. [GOC:vp, PMID:15139015]"
0.012761,48813,dendrite morphogenesis,biological process,48812,neuron projection morphogenesis,,,,,,,"The process in which the anatomical structures of a dendrite are generated and organized. A dendrite is a freely branching protoplasmic process of a nerve cell. [GOC:jl, ISBN:0198506732]"
0.015947,34097,response to cytokine stimulus,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus. [GOC:sl]"
0.015947,71436,sodium ion export,biological process,35725,sodium ion transmembrane transport,,,,,,,The directed movement of sodium ions out of a cell or organelle. [GOC:mah]
0.01714,7612,learning,biological process,7611,learning or memory,,,,,,,"Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience. [ISBN:0582227089, ISBN:0721662544]"
0.01714,43433,negative regulation of sequence-specific DNA binding transcription factor activity,biological process,44092,negative regulation of molecular function,51090,regulation of sequence-specific DNA binding transcription factor activity,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription. [GOC:jl]"
0.020602,6883,cellular sodium ion homeostasis,biological process,6875,cellular metal ion homeostasis,30004,cellular monovalent inorganic cation homeostasis,55078,sodium ion homeostasis,,,"Any process involved in the maintenance of an internal steady state of sodium ions at the level of a cell. [GOC:ai, GOC:mah]"
0.020602,8361,regulation of cell size,biological process,32535,regulation of cellular component size,,,,,,,Any process that modulates the size of a cell. [GOC:go_curators]
0.020602,10873,positive regulation of cholesterol esterification,biological process,10872,regulation of cholesterol esterification,31325,positive regulation of cellular metabolic process,45940,positive regulation of steroid metabolic process,,,"Any process that increases the frequency, rate or extent of cholesterol esterification. Cholesterol esterification is the lipid modification process in which a sterol ester is formed by the combination of a carboxylic acid (often a fatty acid) and cholesterol. In the blood this process is associated with the conversion of free cholesterol into cholesteryl ester, which is then sequestered into the core of a lipoprotein particle. [GOC:BHF, GOC:dph, GOC:tb]"
0.020602,15721,bile acid and bile salt transport,biological process,15718,monocarboxylic acid transport,,,,,,,"The directed movement of bile acid and bile salts into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:dph, GOC:krc, PMID:12663868, PMID:14699511]"
0.02151,32869,cellular response to insulin stimulus,biological process,32868,response to insulin stimulus,71375,cellular response to peptide hormone stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms. [GOC:mah, ISBN:0198506732]"
0.02151,50885,neuromuscular process controlling balance,biological process,50905,neuromuscular process,,,,,,,"Any process that an organism uses to control its balance, the orientation of the organism (or the head of the organism) in relation to the source of gravity. In humans and animals, balance is perceived through visual cues, the labyrinth system of the inner ears and information from skin pressure receptors and muscle and joint receptors. [GOC:ai, GOC:dph, http://www.onelook.com/]"
0.025319,7626,locomotory behavior,biological process,7610,behavior,,,,,,,The specific movement from place to place of an organism in response to external or internal stimuli. Locomotion of a whole organism in a manner dependent upon some combination of that organism's internal state and external conditions. [GOC:dph]
0.029938,9409,response to cold,biological process,6950,response to stress,9266,response to temperature stimulus,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism. [GOC:lr]"
0.029938,35137,hindlimb morphogenesis,biological process,35108,limb morphogenesis,,,,,,,The process in which the anatomical structures of the hindlimb are generated and organized. [GOC:go_curators]
0.029938,35249,"synaptic transmission, glutamatergic",biological process,7270,neuron-neuron synaptic transmission,,,,,,,The process of communication from a neuron to another neuron across a synapse using the neurotransmitter glutamate. [GOC:kmv]
0.029938,42403,thyroid hormone metabolic process,biological process,6575,cellular modified amino acid metabolic process,18958,phenol-containing compound metabolic process,42445,hormone metabolic process,,,"The chemical reactions and pathways involving any of the compounds secreted by the thyroid gland, largely thyroxine and triiodothyronine. [GOC:jl, ISBN:0198506732]"
0.029938,51929,positive regulation of calcium ion transport via voltage-gated calcium channel activity,biological process,32414,positive regulation of ion transmembrane transporter activity,51925,regulation of calcium ion transport via voltage-gated calcium channel activity,51928,positive regulation of calcium ion transport,,,"Any process that activates or increases the frequency, rate or extent of the directed movement of calcium ions via the activity of voltage-gated calcium channels. [GOC:ai]"
0.029938,60395,SMAD protein signal transduction,biological process,7165,signal transduction,,,,,,,"The cascade of processes by which a signal interacts with a receptor, causing a change in the activity of a SMAD protein, and ultimately effecting a change in the functioning of the cell. [GOC:BHF, GOC:dph, GOC:tb]"
0.030429,7268,synaptic transmission,biological process,7267,cell-cell signaling,,,,,,,"The process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. [GOC:jl, MeSH:D009435]"
0.033077,6897,endocytosis,biological process,16192,vesicle-mediated transport,,,,,,,"A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle. [GOC:mah, ISBN:0198506732, ISBN:0716731363]"
0.03791,70588,calcium ion transmembrane transport,biological process,6816,calcium ion transport,34220,ion transmembrane transport,,,,,A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore. [GOC:mah]
0.039084,6814,sodium ion transport,biological process,15672,monovalent inorganic cation transport,30001,metal ion transport,,,,,"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.040611,2027,regulation of heart rate,biological process,8016,regulation of heart contraction,65008,regulation of biological quality,,,,,"Any process that modulates the frequency or rate of heart contraction. [GOC:dph, GOC:tb, PMID:10358008]"
0.040611,7568,aging,biological process,32502,developmental process,,,,,,,"A developmental process that is a deterioration and loss of function over time.  Aging includes loss of functions such as resistance to disease, homeostasis, and fertility, as well as wear and tear. Aging includes cellular senescence, but is more inclusive. May precede death (GO:0016265) and may succeed developmental maturation (GO:0021700). [GOC:PO_curators]"
0.040611,15758,glucose transport,biological process,8645,hexose transport,,,,,,,"The directed movement of the hexose monosaccharide glucose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.040611,42310,vasoconstriction,biological process,50880,regulation of blood vessel size,,,,,,,"A decrease in the diameter of blood vessels, especially arteries, usually causing an increase in blood pressure. [ISBN:0192800752]"
